디자인도 깔끔하고 입었을때 편해서 너무 좋네요~,5.0
"핏도 잘 나오고 옷도 짱짱하니 좋아요.
재구매. 의사 있습니다.",5.0
"역시 딱 무텐다드, 기본에 충실하고 군더더기 없습니다.  핏감과 길이감 모두 훌륭하고 그레이 색감 또한 너무 이뻐요.",4.0
무난하고 편하게 입기 딱 좋습니다. 정사이즈 입니다.,5.0
좋은 가격에 셋업 잘구매했어요 바지랑 같이 어울리네요,4.0
대박입니다 몇십만원짜리 옷과 다르지 않네요 진짜 좋아요 가성비 대박!!,5.0
기본으로 무난하게 입을수 있는 블레이저에요 깔끔합니다,5.0
너무 이쁘고 활용성도 좋을거같아요 정사이즈 추천!!!,5.0
"입문용 블레이저로 가격도 부담스럽지 않고, 디자인 최고입니다.",5.0
역시 무신사스탠다드네요. 가성비 너무 좋고 이뻐요,5.0
바지만 약간 수선하니까 딱맞게 핏이 떨어져요 감사합니다,4.0
블레이져 처음 입문하는데 부담스럽지 않고 너무 좋습니다.,5.0
"기본템치고 좋음 진작에 살걸 그랬네요
근데 팔이 좀 짧,,",5.0
블레이져 쓸만한걸 찾고 있었는데 비싼 블레이저들이랑 비교해도 핏 재질 딸리는게 없고 좋아요,5.0
저렴한 가격에 핏도 괜찮고 잘 구매한 것 같아요 만족합니다,5.0
많이 안 입는 스타일 옷이라 고민했는데 가끔씩 다른 스타일링시에 잘 입을 수 있을 것 같아요,5.0
기본 블레이져로 쓸 만 한 제품인 것 같습ㄴ다. 굳굳이에요,5.0
무신사 스탠다드 중에서 가장 좋고 블레이저 입문자에게 추천드립니다. 그리고 색이 밝고 좋습니다.,5.0
첫 블레이저인데 너무 이쁩니다 무신사 믿고 구매합니다,5.0
재질좋고 사이즈도 예쁘게 잘나온듯 싸게 잘샀네요,4.0
면접 준비때문에 샀는데 사이즈도 괜찮고 색도 예뻐요,5.0
"믿고 입는 무신사 스탠다드라는걸 다시 느낍니다.
딱 맞아 떨어지고 재질도 굉장히 만족스러워요",4.0
완전 한겨울에는 이것만 입기는 조금 힘들거같긴해요 저는 추위를 안타는 편이라 안에 두꺼운거 입고 입으면 갠찮을 듯 합니다. 핏 아주 정핏이고 깔끔하게 떨어집니다. 품질은 완전 좋구요,5.0
기본 템이라 그런지 무난하고 예뻐요 코디하기 어렵지도 않고 블레이저 입문용으로 너무 좋네용,4.0
"재질도 좋고 오버핏하게 입으려고샀는데 
제 생각에맞게 왔습니다",5.0
코트안에 이너로도 입고 다니기 좋은 핏이에요 추천드려요,5.0
할인할때 샀는데 기본 디자인 블래이저고 무난하니 이뻐요,5.0
두꺼운 티와 슬랙스로 매칭하면 좋은 기본템이지만 날씨가 조금풀리면 입을수 있을듯해요,4.0
그냥 기본검은색마이 하나쯤은있어야되서 구매했어요,5.0
옷이 정말 깔끔하게 잘 만들어져서 완전 만족합니다,5.0
"괜찮아요.  두께감도 적당하고 핏도 좋아요.  
맨투맨티랑 전체적으로 잘 어울리네요.",5.0
정말 만족합니다 블레니저 뭐랑 입어도 괜찮네요,5.0
기본하면 무조건 무탠다드 믿고 갑니다 진짜기본중에 기본!,5.0
"사이즈 많이찾아보고 구매했습니다.
잘맞습니다! 기본으로 입기에 너무 좋습니다ㅎㅎ",5.0
오버하게 입을꺼면 한사이즈나 두사이즈 업해서 입으세요,5.0
막 입을 블레이져로 샀는데 핏하고 재질 모두 만족 스러웠어요 무텐다드 블레이져는 기본템으로 좋다고 들었는데 진짜 만족스럽습니다!,5.0
L했다가 작아서 XL로 바꿨는데 손목 길이도 딱맞고 좋아요,5.0
이가격에 이퀼리티 믿고사는 무신사는 너무 좋아요~,5.0
"기본 블랙 블레이저가 필요하시다면 강추드립니다!
사이즈도 딱 맞고 좋아요!",5.0
2xl 아주 잘맞습니다. 클줄알았는데 길이도 아주 잘맞고 좋네요,5.0
인터넷상에서 칭찬이 많은 블레이저라 구매했는데 생각보다 핏이 예쁘지 않아요. 모디파이드가 훨씬 핏이 예쁩니다.,3.0
좋아용 나 지금 너무 많이 웃자고 내일 또 다른 사람,5.0
왜 기본블레이져로 추천하는지 알꺼같아요 좋아요,5.0
벌써 블레이저만 3개째 질렀네요 가성비 최고입니다,5.0
하얀 니트랑 같이 입으면 이쁘게 딱 좋을 것 같아요,5.0
기본템으로 적절하고 또 예쁩니다! 겨울에도 겉에 두꺼운 옷 입고 잘 활용할 수 있을듯 싶네요,5.0
색감은 이쁜데 사이즈가 생각보다 너무 커요 오버하게 입어야할거같아요ㅠ,5.0
M사이즈 했다가 L로 바꿨습니다ㅎ 사람마다 다르겠지만 한치수 크게 사는것도 좋을듯 합니다!,5.0
갓탠다드 정말 이쁩니다 다른 색상도 구입했어요 굿,5.0
무난해서 가을이나 봄에 가볍게 겉옷으로 입고 다니기 좋아요,5.0
"생각보다 사이즈가 작은거같긴한데, 입을만해요",4.0
기본 검정 블레이져도 예쁘지만 그레이가 역시 뻔하지않은 느낌? 너무 좋아요. 기본템입니다.,5.0
딱 베이식한 블레이저입니다. 정핏이고 스탠다드 합니다.,5.0
기본적인 블레이저의 정석입니다 굉장히 만족합니다,5.0
갓성비 무탠다드라고해서 사봤는데 핏도 너무좋고 이뻐요,5.0
무탠다드 답게 색감 무난하고 사이즈 적당하며 질이 좋아요,5.0
사고나서 이제야 쓰게 되네요 정말 좋았고 또살께요,4.0
"잘 입을 것 같아요
제 키에 딱 정핏이네요 좀 여유롭게 입으시는분은 좀 더 크게 사세용~~",5.0
블레이저 찾아보다가 무탠으로 사게됐습니다 핏이 딱 이쁘게 나와서 만족합니당,5.0
가성비 무탠다드 블에이저 이름 값 하네요 최고입니다,5.0
"루즈핏 느낌입니다.
팔통이 생각보다 넓어요.
나쁘지 않은듯",5.0
처음 샀는데 나쁘지 않은것 같습니다 잘 입고 다닐것 같아요,4.0
"다른 제품에 비해 재질도 괜찮고
옷 핏도 좋아욤 잘입겠습니다 ㅎㅎ",5.0
사이즈 아주 좋아요. 질감도 좋구요. 핏도 좋아요. 이 가격에 아주 잘 산듯.,5.0
블레이저 꼭 필요 했었는데 가성비 최고인거같아요,5.0
"평소 105입으면 엑라가세요.. 
상체 두꺼운편입니다",5.0
블레이저 처음 샀는데 옷이 정말 예쁜 것 같습니다.,5.0
옷자체는 이쁜데 팔길이가 좀 길어서 수선을 해서 입어야할거같아요.,3.0
어디에 적당히 매치해도 은근 잘 어울림. 릴랙스 아니여도 케주얼한 느낌 충분히 낼 수 있어요. 재질도 좋아요.,5.0
검정색 사고 맘에 들어서 추가 구매했습니다 재질 가격 핏 다 맘애들어요,5.0
진짜 무텐다드 답게 가성비는 뭐 말할것도 없고 최고입ㄴ니다,5.0
친구들도 많이 구매한 제품이여서 믿고 샀는데 완전 딱맞네요 스탠다드하게 입기 좋은 것 같아요,5.0
항상 믿고 사는 무신사입니다. 검정색도 사야겠어요,5.0
딱 스탠다드한 핏이라 다른 무드로는 연출이 안 될 거 같지만 기본에 충실해서 좋습니다,5.0
블레이저 기본템 사고 싶어서 샀는데 핏도 좋고 매우 마음에 듭니다 ㅎㅎ,5.0
좋아요 이뻐요 캐주얼하진 않고 포멀합니다. 재질도 좋음,5.0
"두께값고 좋고 질도 좋은거같아요.
추천드립니다!",4.0
"기본템으로 최고네요

사이즈도 적당하게 잘 맞아요",5.0
역시 갓탠다드는 실패가 없네요. 소매가 좀 길긴하지만 그건 제 팔이 짧은거라 상품은 매우 만족합니다.,5.0
무탠다드는 역시 팬츠하고 블레이저라는 말 공감했습니다 핏부터 착장끼지 맘애듭니다,5.0
첫 블레이저 입문인데 역시 믿고사는 무탠다드라 그런지 핏도 좋고 가성비 좋네요,5.0
옷이 얇고 바람이 잘통해서 여름에 입어도 괜찮더라구요!,5.0
치수하나더 작은건 너무 꽉끼고 큰건 적당한 세미오버나와요,4.0
기본템으로 구매했는데 만족합니다 무난하고 가성비좋아요,5.0
입어보니깐 크지도 않고 재질도 괜찮고 잘산거같네요 ㅎㅎ,5.0
사이즈가 약간 작지만 나름 입을만은 합니다 가을 봄 용,5.0
"깔끔하고 무겁지 않아서 좋으며, 테가 잘 나네요. 결혼식이나 무난한 격식 차리는 장소에 입기에 좋음. 다른 버전도 살듯",5.0
사이즈 조금 딱맞긴한데 좋네요. 조금 크게 입으시는 게 좋을 거 같습니다.,4.0
안에 셔츠랑입으면 아주 찰떡입니디 슬랙스랑 같이 셋업으로 입어용,5.0
무난함 그냥 입기에도 정장처럼 입을때에도 가장 무난하게 입을 수 있음 굳,5.0
딱 일반적인 핏이라 편하게 입을때 좋고 의외로 쫀쫀해요,4.0
딱 일반적인 핏이라 편하게 입을때 좋고 의외로 쫀쫀해요,4.0
약간 아주 조금 작은 감이 있긴 하지만 그래도 이쁘고 좋네요,5.0
